Category,Subcategory,Field,Confidence,Confidence_Score,Value_Year_1,Value_Year_2,Value_Year_3,Value_Year_4
Date,Year,Year,,0.0,2024.0,2023.0,,
Balance Sheet,Current Assets,Cash And Equivalents,95.0%,0.95,40506296.0,14011556.0,,
Balance Sheet,Current Assets,Accounts Receivable,90.0%,0.9,93102625.0,102434862.0,,
Balance Sheet,Current Assets,Other Current Assets,85.0%,0.85,72591698.0,22796639.0,,
Balance Sheet,Current Assets,Total Current Assets,95.0%,0.95,206200619.0,139243056.0,,
Balance Sheet,Non Current Assets,Investment In Non Proprietary Shares,92.0%,0.92,3000000.0,1900000.0,,
Balance Sheet,Non Current Assets,Property Plant Equipment,92.0%,0.92,240617.0,1992274.0,,
Balance Sheet,Non Current Assets,Other Non Current Assets,88.0%,0.88,57306992.0,126866242.0,,
Balance Sheet,Non Current Assets,Total Non Current Assets,95.0%,0.95,60546713.0,130758516.0,,
Balance Sheet,Current Liabilities,Accounts Payable,88.0%,0.88,44907778.0,23297018.0,,
Balance Sheet,Current Liabilities,Income Tax Payable,90.0%,0.9,3243704.0,3735208.0,,
Balance Sheet,Current Liabilities,Short Term Debt,90.0%,0.9,12172744.0,9752679.0,,
Balance Sheet,Current Liabilities,Other Current Liabilities,88.0%,0.88,18394950.0,20250238.0,,
Balance Sheet,Current Liabilities,Total Current Liabilities,95.0%,0.95,78719175.0,57035143.0,,
Balance Sheet,Non Current Liabilities,Advances From Stockholder,92.0%,0.92,21810579.0,28927669.0,,
Balance Sheet,Non Current Liabilities,Long Term Liabilities,92.0%,0.92,13000000.0,0.0,,
Balance Sheet,Non Current Liabilities,Other Long Term Liabilities,88.0%,0.88,7176268.0,46018833.0,,
Balance Sheet,Non Current Liabilities,Total Non Current Liabilities,95.0%,0.95,41986847.0,74946502.0,,
Balance Sheet,Equity,Share Capital,95.0%,0.95,45667200.0,45667200.0,,
Balance Sheet,Equity,Additional Paid In Capital,90.0%,0.9,15833600.0,15833600.0,,
Balance Sheet,Equity,Cumulative Earnings Appropriated,90.0%,0.9,40000000.0,60000000.0,,
Balance Sheet,Equity,Cumulative Earnings Deficit,90.0%,0.9,44675911.0,17396953.0,,
Balance Sheet,Equity,Gain Loss On Fair Value Of Asset Held For Sale,90.0%,0.9,2570000.0,1470000.0,,
Balance Sheet,Equity,Treasury Shares,90.0%,0.9,-2705400.0,-2347826.0,,
Balance Sheet,Equity,Total Equity,95.0%,0.95,146041311.0,138019927.0,,
Balance Sheet,Totals,Total Assets,98.0%,0.98,266747332.0,270001572.0,,
Balance Sheet,Totals,Total Liabilities And Equity,98.0%,0.98,266747332.0,270001572.0,,
Income Statement,Revenues,Net Sales,95.0%,0.95,249788478.0,292800617.0,,
Income Statement,Revenues,Total Revenue,95.0%,0.95,249788478.0,292800617.0,,
Income Statement,Cost Of Sales,Cost Of Goods Sold,92.0%,0.92,202328679.0,246283513.0,,
Income Statement,Operating Expenses,General And Admin Expenses,85.0%,0.85,35409424.0,35413180.0,,
Income Statement,Operating Expenses,Total Operating Expenses,90.0%,0.9,35409424.0,35413180.0,,
Income Statement,Profitability,Gross Profit,95.0%,0.95,47459800.0,46517104.0,,
Income Statement,Profitability,Operating Income,93.0%,0.93,12050376.0,11103924.0,,
Income Statement,Profitability,Net Income,95.0%,0.95,8780395.0,11405239.0,,
Cash Flow Statement,Operating Activities,Net Income,95.0%,0.95,8780395.0,11405239.0,,
Cash Flow Statement,Operating Activities,Net Cash From Operations,0.0%,0.0,,,,
Cash Flow Statement,Investing Activities,Net Cash From Investing,0.0%,0.0,,,,
Cash Flow Statement,Financing Activities,Net Cash From Financing,0.0%,0.0,,,,
