Category,Subcategory,Field,Confidence,Confidence_Score,Value_Year_1,Value_Year_2,Value_Year_3,Value_Year_4
Date,Year,Year,,0.0,2022.0,2021.0,,
Balance Sheet,Current Assets,Cash And Equivalents,95.0%,0.95,10041673.0,11237376.0,,
Balance Sheet,Current Assets,Accounts Receivable,95.0%,0.95,6965863.0,9085459.0,,
Balance Sheet,Current Assets,Inventory,95.0%,0.95,216357523.0,181220353.0,,
Balance Sheet,Current Assets,Total Current Assets,95.0%,0.95,233365059.0,201543188.0,,
Balance Sheet,Non Current Assets,Property Plant Equipment,95.0%,0.95,58663112.0,59868152.0,,
Balance Sheet,Non Current Assets,Other Non Current Assets,95.0%,0.95,5438613.0,2314137.0,,
Balance Sheet,Non Current Assets,Total Non Current Assets,95.0%,0.95,64101725.0,62182289.0,,
Balance Sheet,Current Liabilities,Accounts Payable,95.0%,0.95,178874377.0,151497735.0,,
Balance Sheet,Current Liabilities,Total Current Liabilities,95.0%,0.95,178874377.0,151497735.0,,
Balance Sheet,Non Current Liabilities,Total Non Current Liabilities,10.0%,0.1,,,,
Balance Sheet,Equity,Share Capital,95.0%,0.95,46000000.0,46000000.0,,
Balance Sheet,Equity,Retained Earnings,95.0%,0.95,72592407.0,66227742.0,,
Balance Sheet,Equity,Total Equity,95.0%,0.95,118592407.0,112227742.0,,
Balance Sheet,Totals,Total Assets,95.0%,0.95,297466784.0,263725477.0,,
Balance Sheet,Totals,Total Liabilities And Equity,95.0%,0.95,297466784.0,263725477.0,,
Income Statement,Revenues,Net Sales,95.0%,0.95,485192483.0,487225599.0,,
Income Statement,Revenues,Total Revenue,95.0%,0.95,485192483.0,487225599.0,,
Income Statement,Cost Of Sales,Cost Of Goods Sold,95.0%,0.95,439318810.0,440879641.0,,
Income Statement,Operating Expenses,Administrative Expenses,95.0%,0.95,37387453.0,37517159.0,,
Income Statement,Operating Expenses,Total Operating Expenses,95.0%,0.95,37387453.0,37517159.0,,
Income Statement,Profitability,Gross Profit,95.0%,0.95,45873673.0,46345958.0,,
Income Statement,Profitability,Net Income,95.0%,0.95,6364665.0,6621599.0,,
Cash Flow Statement,Operating Activities,Net Income,95.0%,0.95,6364665.0,6621599.0,,
Cash Flow Statement,Operating Activities,Depreciation,95.0%,0.95,1205040.0,1218229.0,,
Cash Flow Statement,Operating Activities,Working Capital Changes,95.0%,0.95,-8765408.0,-3855085.0,,
Cash Flow Statement,Operating Activities,Net Cash From Operations,95.0%,0.95,7569705.0,7839828.0,,
Cash Flow Statement,Investing Activities,Net Cash From Investing,10.0%,0.1,,,,
Cash Flow Statement,Financing Activities,Net Cash From Financing,10.0%,0.1,,,,
