Category,Subcategory,Field,Confidence,Confidence_Score,Value_Year_1,Value_Year_2,Value_Year_3,Value_Year_4
Date,Year,Year,,0.0,2022.0,2021.0,,
Balance Sheet,Current Assets,Cash And Equivalents,95.0%,0.95,10041673.0,11237376.0,,
Balance Sheet,Current Assets,Accounts Receivable,90.0%,0.9,,,,
Balance Sheet,Current Assets,Inventory,85.0%,0.85,,,,
Balance Sheet,Current Assets,Other Current Assets,95.0%,0.95,-3124476.0,-2064137.0,,
Balance Sheet,Current Assets,Total Current Assets,95.0%,0.95,,,,
Balance Sheet,Non Current Assets,Property Plant Equipment,95.0%,0.95,58663112.0,59868152.0,,
Balance Sheet,Non Current Assets,Intangible Assets,88.0%,0.88,,,,
Balance Sheet,Non Current Assets,Other Non Current Assets,85.0%,0.85,,,,
Balance Sheet,Non Current Assets,Total Non Current Assets,95.0%,0.95,,,,
Balance Sheet,Current Liabilities,Accounts Payable,95.0%,0.95,27376642.0,20696799.0,,
Balance Sheet,Current Liabilities,Short Term Debt,90.0%,0.9,,,,
Balance Sheet,Current Liabilities,Other Current Liabilities,85.0%,0.85,,,,
Balance Sheet,Current Liabilities,Total Current Liabilities,95.0%,0.95,,,,
Balance Sheet,Non Current Liabilities,Long Term Debt,92.0%,0.92,,,,
Balance Sheet,Non Current Liabilities,Other Long Term Liabilities,88.0%,0.88,,,,
Balance Sheet,Non Current Liabilities,Total Non Current Liabilities,95.0%,0.95,,,,
Balance Sheet,Equity,Share Capital,95.0%,0.95,46000000.0,46000000.0,,
Balance Sheet,Equity,Retained Earnings,95.0%,0.95,72592407.0,66227742.0,,
Balance Sheet,Equity,Other Equity,85.0%,0.85,,,,
Balance Sheet,Equity,Total Equity,95.0%,0.95,118592407.0,112227742.0,,
Balance Sheet,Totals,Total Assets,98.0%,0.98,,,,
Balance Sheet,Totals,Total Liabilities And Equity,98.0%,0.98,,,,
Income Statement,Revenues,Net Sales,95.0%,0.95,485192483.0,487225599.0,,
Income Statement,Revenues,Other Income,80.0%,0.8,0.0,0.0,,
Income Statement,Revenues,Total Revenue,95.0%,0.95,485192483.0,487225599.0,,
Income Statement,Cost Of Sales,Cost Of Goods Sold,95.0%,0.95,439318810.0,440879641.0,,
Income Statement,Operating Expenses,Selling Expenses,88.0%,0.88,,,,
Income Statement,Operating Expenses,Administrative Expenses,98.0%,0.98,37387453.0,37517159.0,,
Income Statement,Operating Expenses,Other Operating Expenses,80.0%,0.8,,,,
Income Statement,Operating Expenses,Total Operating Expenses,98.0%,0.98,37387453.0,37517159.0,,
Income Statement,Profitability,Gross Profit,95.0%,0.95,45873673.0,46345958.0,,
Income Statement,Profitability,Operating Income,93.0%,0.93,,,,
Income Statement,Profitability,Net Income,95.0%,0.95,6364665.0,6621599.0,,
Cash Flow Statement,Operating Activities,Net Income,95.0%,0.95,6364665.0,6621599.0,,
Cash Flow Statement,Operating Activities,Depreciation,95.0%,0.95,1205040.0,1218229.0,,
Cash Flow Statement,Operating Activities,Working Capital Changes,95.0%,0.95,-8765408.0,-3855085.0,,
Cash Flow Statement,Operating Activities,Net Cash From Operations,88.0%,0.88,1400000.0,,,
Cash Flow Statement,Investing Activities,Capital Expenditures,88.0%,0.88,,-47537.0,,
Cash Flow Statement,Investing Activities,Net Cash From Investing,90.0%,0.9,,,,
Cash Flow Statement,Financing Activities,Dividends Paid,85.0%,0.85,,,,
Cash Flow Statement,Financing Activities,Debt Proceeds,88.0%,0.88,,,,
Cash Flow Statement,Financing Activities,Net Cash From Financing,95.0%,0.95,-1195704.0,1837324.0,,
