Category,Subcategory,Field,Confidence,Confidence_Score,Value_Year_1,Value_Year_2,Value_Year_3,Value_Year_4
Date,Year,Year,,0.0,2022,2021,,
Balance Sheet,Current Assets,Cash And Equivalents,95.0%,0.95,10041673,11237376,,
Balance Sheet,Current Assets,Accounts Receivable,95.0%,0.95,6965863,9085459,,
Balance Sheet,Current Assets,Inventory,95.0%,0.95,216357523,181220353,,
Balance Sheet,Current Assets,Total Current Assets,95.0%,0.95,233365059,201543188,,
Balance Sheet,Non Current Assets,Property Plant Equipment,95.0%,0.95,58663112,59868152,,
Balance Sheet,Non Current Assets,Other Non Current Assets,95.0%,0.95,5438613,2314137,,
Balance Sheet,Non Current Assets,Total Non Current Assets,95.0%,0.95,64101725,62182289,,
Balance Sheet,Current Liabilities,Accounts Payable,95.0%,0.95,178874377,151497735,,
Balance Sheet,Current Liabilities,Total Current Liabilities,95.0%,0.95,178874377,151497735,,
Balance Sheet,Equity,Share Capital,95.0%,0.95,46000000,46000000,,
Balance Sheet,Equity,Retained Earnings,95.0%,0.95,72592407,66227742,,
Balance Sheet,Equity,Total Equity,95.0%,0.95,118592407,112227742,,
Balance Sheet,Totals,Total Assets,95.0%,0.95,297466784,263725477,,
Balance Sheet,Totals,Total Liabilities And Equity,95.0%,0.95,297466784,263725477,,
Income Statement,Revenues,Net Sales,95.0%,0.95,485192483,487225599,,
Income Statement,Revenues,Total Revenue,95.0%,0.95,485192483,487225599,,
Income Statement,Cost Of Sales,Cost Of Goods Sold,95.0%,0.95,439318810,440879641,,
Income Statement,Operating Expenses,Administrative Expenses,95.0%,0.95,37387453,37517159,,
Income Statement,Profitability,Gross Profit,95.0%,0.95,45873673,46345958,,
Income Statement,Profitability,Net Income,95.0%,0.95,6364665,6621599,,
Cash Flow Statement,Operating Activities,Net Income,95.0%,0.95,6364665,6621599,,
Cash Flow Statement,Operating Activities,Depreciation,95.0%,0.95,1205040,1218229,,
Cash Flow Statement,Operating Activities,Net Cash From Operations,95.0%,0.95,-8765408,-3855085,,
Cash Flow Statement,Investing Activities,Capital Expenditures,95.0%,0.95,-47537,-47537,,
Cash Flow Statement,Cash Flow Summary,Net Increase Decrease In Cash,95.0%,0.95,-1195704,1837324,,
Cash Flow Statement,Cash Flow Summary,Cash Balance At Beginning Of Year,95.0%,0.95,11237376,9400052,,
Cash Flow Statement,Cash Flow Summary,Cash Balance At End Of Year,95.0%,0.95,10041673,11237376,,
