Category,Subcategory,Field,Confidence,Confidence_Score,Value_Year_1,Value_Year_2,Value_Year_3,Value_Year_4
Date,Year,Year,,0.0,2023,2022,,
Balance Sheet,Current Assets,Cash And Equivalents,95.0%,0.95,4526581,4269658,,
Balance Sheet,Current Assets,Total Current Assets,95.0%,0.95,4788176,4563148,,
Balance Sheet,Non Current Assets,Total Non Current Assets,95.0%,0.95,0,0,,
Balance Sheet,Current Liabilities,Total Current Liabilities,95.0%,0.95,188039,306391,,
Balance Sheet,Non Current Liabilities,Total Non Current Liabilities,95.0%,0.95,0,0,,
Balance Sheet,Equity,Total Equity,95.0%,0.95,4600136,4256756,,
Balance Sheet,Totals,Total Assets,98.0%,0.98,4788176,4563148,,
Balance Sheet,Totals,Total Liabilities And Equity,98.0%,0.98,4788176,4563148,,
Income Statement,Revenues,Net Sales,95.0%,0.95,12242397,9843009,,
Income Statement,Revenues,Total Revenue,95.0%,0.95,12242397,9843009,,
Income Statement,Cost Of Sales,Cost Of Goods Sold,95.0%,0.95,10720806,8632290,,
Income Statement,Operating Expenses,Administrative Expenses,95.0%,0.95,1063751,836091,,
Income Statement,Profitability,Gross Profit,95.0%,0.95,1521591,1210719,,
Income Statement,Profitability,Net Income,95.0%,0.95,343380,280971,,
Cash Flow Statement,Operating Activities,Net Income,95.0%,0.95,457840,374628,,
Cash Flow Statement,Operating Activities,Net Cash From Operations,95.0%,0.95,256923,-113333,,
Cash Flow Statement,Investing Activities,Net Cash From Investing,90.0%,0.9,0,0,,
Cash Flow Statement,Financing Activities,Net Cash From Financing,90.0%,0.9,0,0,,
