Category,Subcategory,Field,Confidence,Confidence_Score,Value_Year_1,Value_Year_2,Value_Year_3,Value_Year_4
Date,Year,Year,,0.0,2022.0,2021,,
Current Assets,,Cash And Equivalents,95.0%,0.95,10041673.0,11237376,,
Current Assets,,Accounts Receivable,95.0%,0.95,6965863.0,9085459,,
Current Assets,,Inventory,95.0%,0.95,216357523.0,181220353,,
Current Assets,,Total Current Assets,95.0%,0.95,233365059.0,201543188,,
Non Current Assets,,Property Plant Equipment,95.0%,0.95,58663112.0,59868152,,
Non Current Assets,,Other Non Current Assets,95.0%,0.95,5438613.0,2314137,,
Non Current Assets,,Total Non Current Assets,95.0%,0.95,64101725.0,62182289,,
Current Liabilities,,Accounts Payable,95.0%,0.95,178874377.0,151497735,,
Current Liabilities,,Total Current Liabilities,95.0%,0.95,178874377.0,151497735,,
Non Current Liabilities,,Total Non Current Liabilities,95.0%,0.95,0.0,0,,
Equity,,Share Capital,95.0%,0.95,46000000.0,46000000,,
Equity,,Retained Earnings,95.0%,0.95,72592407.0,66227742,,
Equity,,Total Equity,95.0%,0.95,118592407.0,112227742,,
Totals,,Total Assets,95.0%,0.95,297466784.0,263725477,,
Totals,,Total Liabilities And Equity,95.0%,0.95,297466784.0,263725477,,
Revenues,,Net Sales,95.0%,0.95,485192483.0,487225599,,
Revenues,,Total Revenue,95.0%,0.95,485192483.0,487225599,,
Cost Of Sales,,Cost Of Goods Sold,95.0%,0.95,439318810.0,440879641,,
Operating Expenses,,Administrative Expenses,95.0%,0.95,37387453.0,37517159,,
Profitability,,Gross Profit,95.0%,0.95,45873673.0,46345958,,
Profitability,,Net Income,95.0%,0.95,6364665.0,6621599,,
Operating Activities,,Net Income,95.0%,0.95,6364665.0,6621599,,
Operating Activities,,Depreciation,95.0%,0.95,1205040.0,1218229,,
Operating Activities,,Working Capital Changes,95.0%,0.95,-8765408.0,-3855085,,
Operating Activities,,Net Cash From Operations,95.0%,0.95,7569705.0,7839828,,
Investing Activities,,Capital Expenditures,10.0%,0.1,,-47537,,
Financing Activities,,Net Cash From Financing,95.0%,0.95,-1195704.0,1837324,,
